feature_name,feature_type,source_columns,calculation,timing,leakage_status,business_meaning
donor_unique_id,Categorical,Original dataset,Original identifier; no transformation,Static,Excluded,Retains record identity for tracking and validation but should not be used as a predictor.
donor_postal_code,Categorical,Original dataset,Original postal code; no transformation,Static,Excluded,Represents donor geography but has high cardinality and may introduce privacy or fairness concerns.
donor_age,Numeric,Original dataset,Original cleaned donor age,Static,Safe,May capture differences in donation behavior across life stages.
gender_identity,Categorical,Original dataset,Original cleaned gender category,Static,Excluded,Original version retained for traceability but replaced by the standardized gender feature.
is_member_flag,Binary,Original dataset,Original binary membership indicator,Static,Excluded,Intended to represent membership status but is constant in the current dataset.
is_alumnus_flag,Binary,Original dataset,Original binary alumnus indicator,Static,Safe,Alumni relationships may reflect an established connection with the organization.
is_parent_flag,Binary,Original dataset,Original binary parent indicator,Static,Safe,Parental status may represent a distinct relationship or engagement pattern.
has_involvement_flag,Binary,Original dataset,Original binary involvement indicator,Static,Requires validation,"Organizational involvement may indicate a stronger relationship, but its availability before the prediction cutoff must be confirmed."
preferred_address_type,Categorical,Original dataset,Original preferred address category,Static,Excluded,Original address category retained for traceability but replaced by the standardized feature.
has_email_flag,Binary,Original dataset,Original binary email-availability indicator,Static,Requires validation,"Email availability may indicate contactability, but its pre-cutoff timing must be confirmed."
consecutive_donor_years,Numeric,Original dataset,Original consecutive donor-year count,Historical,Requires validation,"May measure donor loyalty, but the field must be verified as containing only pre-cutoff information."
last_fiscal_year_donation,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_2_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_3_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_4_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_5_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
current_fiscal_year_donation,Numeric,Original dataset,Original current-fiscal-year donation amount,Current-period,Excluded,Directly defines the prediction outcome and cannot be used as a predictor.
